steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
15252556	8903	323059.35856485367	29.70731707317262	30.00000000000189	1.2092126041153615	32.00000000000189	27.000000000001535	0.9352483091012769	0.8921030609280821	3808138
15502669	8987	328322.2224519253	29.378048780489653	30.0000000000018	1.3728641948719142	31.000000000002068	23.50000000000144	0.9846806247464917	0.871065737017946	3870667
15751669	9070	333544.30503487587	29.51219512195306	30.00000000000189	1.164516020059761	31.000000000002068	26.00000000000155	0.9905013103916215	0.8555549371656717	3932917
16001905	9154	338740.73669600487	29.926829268294554	30.00000000000189	0.9052691285590695	32.00000000000207	28.000000000001712	0.9754705984423302	0.829258434841124	3995476
16250905	9237	343933.26211094856	29.87804878048968	30.00000000000189	0.9538113532355708	32.000000000002245	28.000000000001737	0.970363763074119	0.8190235001374384	4057726
16502844	9321	349208.12911343575	29.536585365855522	30.00000000000189	1.3434574979435383	32.00000000000207	26.000000000001535	0.9735401009851598	0.8720160937634751	4120710
16751844	9404	354432.6503932476	29.229024390245733	29.000000000002068	1.445177852165794	31.000000000002245	22.390000000001283	0.970411334402174	0.8508640630023308	4182960
17000565	9487	359642.8420031071	29.707317073172607	30.00000000000189	0.9285446257188269	31.000000000002057	27.000000000001535	0.9695708113389043	0.8269326045923204	4245141
17251810	9571	364902.1224799156	28.95463414634325	29.000000000002068	2.022963293736555	34.000000000001535	21.14000000000111	0.9771717627885974	0.8113284812808208	4307952
17500810	9654	370129.7659289837	29.351951219514017	30.00000000000189	2.149338525584535	32.00000000000189	17.43000000000055	0.9741040413880377	0.8863925151979676	4370202
17750166	9738	375386.5124619007	29.17146341463597	29.00000000000189	1.7934151234107965	32.00000000000207	21.580000000001206	0.9719196693287635	0.779241904988978	4432541
18000394	9822	380662.6091723442	29.13390243902622	29.000000000002068	1.124555196619574	30.000000000002068	25.490000000001476	0.9758188514337979	0.8058973521139108	4495098
18251854	9906	385952.63977122307	29.53975609756282	30.00000000000189	1.6752022083990439	32.00000000000207	22.130000000000777	0.953620350644763	0.8297063393665658	4557963
18500085	9989	391773.2559595108	29.975609756099434	30.00000000000189	0.9350883615480434	32.00000000000207	27.000000000001535	0.9779622205514217	0.8356784346580605	4620021
18752085	10073	403841.8365688324	29.585365853660367	30.00000000000189	1.09488834490329	32.00000000000189	27.000000000001712	0.9801639779919757	0.8546185169777135	4683021
19001085	10156	417901.09699606895	29.731707317075035	30.00000000000189	1.1837311824039396	32.00000000000207	28.000000000001535	0.97020638477494	0.8574804891113057	4745271
19250085	10239	431909.3618030548	29.82926829268481	30.00000000000189	1.2021322519671689	33.000000000001876	27.000000000001712	0.9829227788344173	0.8881837056751013	4807521
19501776	10323	446171.02214455605	29.878048780489717	30.00000000000189	1.0769197266097466	32.000000000002245	27.000000000001712	0.9455822512914522	0.9069449843740611	4870443
19750776	10406	460122.8270008564	29.75609756097747	30.00000000000189	0.9428808992890529	31.000000000002068	26.000000000001357	0.9773521504919884	0.8365626375968038	4932693
20002189	10490	474430.463750124	28.562439024391974	29.000000000001712	1.9177914126515145	31.000000000002064	21.08000000000074	0.9627454295100424	0.8507922798904215	4995547
20251189	10573	488821.68709492683	29.756097560977487	30.00000000000189	1.15716221431747	32.000000000002046	26.000000000001712	0.9583434442992609	0.7487456857080313	5057797
20500189	10656	503209.9724881649	29.951219512197024	30.00000000000189	1.0476454436544929	32.000000000002245	27.000000000001535	0.9432786990490493	0.8083380353561117	5120047
20751181	10740	517762.63201355934	29.829268292684812	30.00000000000189	0.9193051458681193	32.00000000000207	28.000000000001712	0.9653956363080606	0.7891706367237957	5182795
21000535	10824	532199.806240797	29.853658536587247	30.00000000000189	0.8820707344016859	31.000000000002068	28.000000000001712	0.9575604003633769	0.820981525142527	5245133
21251955	10908	546720.2967574596	29.951219512197	30.00000000000189	0.6689999817712051	31.000000000002068	28.00000000000159	0.9773004356023042	0.8051621446299567	5307988
21500955	10991	561137.6300241947	29.658536585367706	30.00000000000189	1.0632440006312112	32.000000000002245	28.000000000001535	0.9717992389209981	0.8315872880766888	5370238
21752955	11075	575726.2508943081	30.07317073170922	30.00000000000189	0.6852095994088607	32.000000000002245	29.000000000001712	0.9719363600035205	0.8444912184244432	5433238
22001955	11158	588851.4314963818	30.097560975611657	30.00000000000189	0.7350128586896479	32.00000000000207	29.000000000001712	0.9864904641667338	0.8228966457972805	5495488
22250955	11241	594151.0731742382	27.58372093023416	30.000000000001712	4.123487903668331	31.000000000002068	15.539999999999699	0.967831271095985	0.7708994802857669	5557738
22502057	11325	599467.566890955	30.048780487806763	30.00000000000189	0.7730206825239729	32.00000000000189	28.00000000000189	0.9887230377576182	0.7136187102802416	5620514
22752642	11409	604743.8032097816	29.504878048782324	30.00000000000189	1.463207302386287	31.000000000002068	23.70000000000082	0.972316661612467	0.7159732306150906	5683160
23001642	11492	610012.06883955	29.43634146341647	30.00000000000189	1.4603591272314818	31.000000000002068	23.890000000001226	0.9736993649861824	0.720323055541044	5745410
23252899	11576	615322.6883718967	29.03857142857323	30.00000000000189	3.5766127669934313	32.00000000000189	10.18999999999972	0.9661845277865495	0.76708318815449	5808224
23501899	11659	620600.727022171	29.585365853660388	30.00000000000189	1.1827005063857432	32.00000000000207	26.000000000001556	0.9844225188108252	0.7914270942274596	5870474
23750317	11742	625866.7529182434	29.47512195122133	30.00000000000189	1.9927557827683398	33.00000000000171	21.700000000001154	0.9943696157772205	0.7678931100280223	5932579
24002317	11826	631192.0036427975	29.322619047620847	30.00000000000189	2.9795719610122204	32.00000000000189	15.920000000000014	0.9804587374961788	0.7515276523660962	5995579
24250826	11909	636467.4227206707	29.56097560975793	30.00000000000189	0.8077369772335323	31.00000000000189	27.000000000001847	0.973751676512332	0.8096644108078821	6057706
